24,2519.1261,7490.3656,50.0265
24,2513.2088,7496.2441,50.0503
24.N,2513.2031,7496.4235,49.9463
24,2509.6570,7499.8141,49.9870
14,2509.6004,7499.8476,49.9904
14,2509.0474,7499.2777,50.0104
14.N,2508.4277,7499.8809,49.9960
14,2509.3233,7500.8123,49.8571
200,2504.3857,7505.7613,49.8568
200,2505.6024,7507.0177,49.6863
204,2505.6015,7507.0163,49.6862
204,2508.6174,7510.0300,49.1162
15,2500.3117,7507.2305,49.9723
15,2501.3729,7509.2339,49.9473
15.N,2490.5114,7516.0192,50.0087
15,2485.8929,7518.3824,49.9540
15,2480.3319,7520.3251,49.8395
40,2489.5035,7518.6122,50.0146
40,2481.2490,7523.9276,50.1308
40,2469.7982,7529.9466,49.7901
601,2465.0907,7527.1842,49.7163
601,2464.8349,7526.7429,49.7162
601,2502.5377,7503.1780,49.9826
601,2502.9726,7502.9326,49.9840
604,2504.4181,7505.2182,49.8470
604,2504.7299,7504.9242,49.8510
604,2504.3711,7496.5638,49.9308
604,2504.0136,7496.8394,49.9213
604,2511.9536,7488.9037,49.9163
604,2511.5764,7489.3502,49.9210
604,2517.2075,7490.7920,50.0032
604,2517.5442,7490.4522,50.0065
604,2521.9570,7485.3138,50.0440
604,2522.2058,7484.9257,50.0526
739,2523.8072,7484.7425,50.1621
740,2524.5772,7485.0616,50.1734
17.Y,2517.5950,7507.4972,53.2818
17.Y,2515.5677,7505.3036,52.2311
17.Y,2514.5271,7504.8732,52.2178
17.Y,2511.5165,7501.6026,52.0904
900,2511.4024,7501.5834,53.7373
900,2517.5470,7507.5872,53.7257
901,2519.0549,7506.1531,55.5183
901,2512.9579,7503.2923,55.8468
901,2515.4090,7507.4841,54.1539
900,2513.3296,7505.2941,51.6132
17.Y,2513.4779,7505.4050,50.6610
17.Y,2509.4237,7509.2730,50.7540
17.Y,2514.4028,7514.6102,51.1631
714,2512.3510,7508.6003,49.0500
15,2503.5207,7512.3334,49.9925
15,2502.7695,7513.4593,49.9982
15,2503.2979,7515.3191,49.9710
15,2498.8950,7518.0799,49.9855
15,2496.8811,7518.0042,49.9869
15,2494.5113,7519.6080,50.0167
15,2491.6807,7517.7492,50.0161
40,2492.4350,7522.2190,49.9816
40,2500.0345,7529.0216,49.8562
40,2506.4315,7536.8095,49.7375
40,2509.6715,7542.2925,47.3429
40,2514.1105,7547.2293,46.8924
40,2517.4044,7550.0686,46.5360
33,2523.0736,7550.4292,46.4839
33,2523.1692,7544.4765,46.6818
33,2525.2017,7537.9003,46.7706
33,2528.2072,7532.5708,46.7899
33,2529.5854,7526.5107,46.9165
43,2528.2270,7527.5220,47.1723
43,2529.0085,7532.9418,46.8163
